epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,196.086,1.3083,2.6893,3.85586,1.41084,0,0.64116,0.16359,0.16944,0.11625,0.6442,0.16482,0.17157,0.11227,1.11596,2.05795,2.8235,1.29464,0,0.000123177,0.000123177,0.000123177
2,398.563,1.15733,2.11716,2.51892,1.26512,0,0.38864,0.4463,0.31657,0.22663,0.38917,0.44753,0.31736,0.21277,0.95855,1.75932,1.76856,1.15336,0,0.000234308,0.000234308,0.000234308
3,606.733,1.06191,1.9359,1.93229,1.19326,0,0.44472,0.56964,0.42115,0.31407,0.44544,0.57056,0.42561,0.29834,0.90426,1.57897,1.46511,1.10433,0,0.000333229,0.000333229,0.000333229
4,812.167,1.00645,1.82855,1.71109,1.15476,0,0.39047,0.58123,0.46131,0.34686,0.38995,0.58278,0.46627,0.33226,0.84349,1.46597,1.35261,1.06242,0,0.000315055,0.000315055,0.000315055
5,1026.06,0.95179,1.73316,1.54268,1.1248,0,0.42871,0.59416,0.49666,0.38621,0.43814,0.58875,0.50094,0.36789,0.7902,1.418,1.27553,1.03402,0,0.00029674,0.00029674,0.00029674
6,1244.8,0.93168,1.69229,1.46093,1.11078,0,0.51434,0.57822,0.5393,0.42174,0.52656,0.56615,0.54945,0.40324,0.78412,1.35945,1.18449,1.02368,0,0.000278425,0.000278425,0.000278425
7,1454.92,0.89853,1.61075,1.33718,1.0869,0,0.51773,0.7098,0.58977,0.46129,0.51936,0.70818,0.58843,0.44225,0.75551,1.28774,1.08732,1.00878,0,0.00026011,0.00026011,0.00026011
8,1666.92,0.86802,1.57691,1.28407,1.07467,0,0.54175,0.65456,0.58907,0.46948,0.54496,0.65552,0.59207,0.44445,0.74734,1.27605,1.10859,1.00322,0,0.000241795,0.000241795,0.000241795
9,1872.1,0.85979,1.53235,1.22518,1.06687,0,0.53083,0.76843,0.62626,0.50001,0.53857,0.73938,0.63143,0.48175,0.73139,1.23032,0.97134,0.99186,0,0.00022348,0.00022348,0.00022348
10,2067.43,0.8449,1.49985,1.19472,1.05876,0,0.52823,0.71321,0.59423,0.47941,0.53354,0.71793,0.60701,0.46132,0.71283,1.2258,0.95711,0.98147,0,0.000205165,0.000205165,0.000205165
11,2229.66,0.78153,1.34393,1.06823,1.04553,0,0.53814,0.76647,0.62442,0.49822,0.54212,0.75731,0.62916,0.48362,0.70431,1.19234,0.90075,0.97307,0,0.00018685,0.00018685,0.00018685
12,2391.94,0.74731,1.2607,0.96847,1.0229,0,0.57567,0.77392,0.66027,0.53409,0.57967,0.76945,0.65982,0.51504,0.68583,1.17159,0.83562,0.96259,0,0.000168535,0.000168535,0.000168535
13,2706.91,0.73035,1.21471,0.92583,1.00815,0,0.56533,0.7623,0.66445,0.54291,0.56973,0.76526,0.67546,0.52482,0.66889,1.13239,0.80636,0.95548,0,0.00015022,0.00015022,0.00015022
14,2872.95,0.71617,1.19492,0.90074,1.00491,0,0.59538,0.78752,0.66945,0.55126,0.59679,0.78628,0.67655,0.52462,0.66494,1.13482,0.77648,0.94979,0,0.000131905,0.000131905,0.000131905
15,3034.32,0.69749,1.15144,0.85835,0.98832,0,0.58292,0.81335,0.6745,0.56047,0.58473,0.81296,0.68165,0.53725,0.65444,1.09293,0.77097,0.94651,0,0.00011359,0.00011359,0.00011359
16,3201.06,0.68714,1.13103,0.83551,0.98111,0,0.58644,0.81083,0.67937,0.56437,0.58949,0.81458,0.68856,0.54015,0.65251,1.09984,0.75614,0.94312,0,9.5275e-05,9.5275e-05,9.5275e-05
17,3367.77,0.66861,1.09821,0.80427,0.97312,0,0.5609,0.80837,0.67468,0.56637,0.56236,0.80746,0.68288,0.53565,0.63594,1.08406,0.75098,0.93524,0,7.696e-05,7.696e-05,7.696e-05
18,5576.58,0.65547,1.08991,0.79297,0.96859,0,0.60616,0.80015,0.69802,0.57917,0.60904,0.79849,0.70405,0.55366,0.63159,1.05421,0.71167,0.9332,0,5.8645e-05,5.8645e-05,5.8645e-05
19,5725.96,0.6445,1.06948,0.77131,0.95761,0,0.59339,0.793,0.68776,0.57418,0.59569,0.79196,0.69517,0.54968,0.62908,1.05579,0.726,0.93241,0,4.033e-05,4.033e-05,4.033e-05
20,5882.41,0.63566,1.06088,0.75765,0.9597,0,0.60882,0.77809,0.6944,0.58129,0.61322,0.7759,0.70194,0.55453,0.625,1.05443,0.70651,0.92952,0,2.2015e-05,2.2015e-05,2.2015e-05
